user_id,age,home_country,budget_level,attr_culture,attr_adventure,attr_nature,attr_beaches,attr_nightlife,attr_cuisine,attr_wellness,ctx_urban,ctx_seclusion
90,39,Latvia,Mid-range,3,3,1,1,2,4,3,2,4
91,21,Qatar,Mid-range,2,2,4,3,2,4,3,2,2
92,55,Laos,Mid-range,3,2,3,2,4,3,2,2,2
93,67,Jamaica,Budget,3,3,3,1,1,3,3,2,2
94,60,Canada,Luxury,3,3,2,1,3,4,2,3,1
95,68,Indonesia,Mid-range,3,1,2,2,1,3,2,4,1
96,37,Switzerland,Mid-range,2,4,2,3,1,3,3,3,2
97,26,Burundi,Budget,2,3,2,1,4,3,3,4,2
98,44,Hong Kong,Mid-range,3,3,3,1,3,3,2,3,4
99,21,France,Mid-range,4,3,3,2,4,4,3,2,2
100,34,Tunisia,Mid-range,4,3,4,1,2,3,2,1,3
101,61,Australia,Mid-range,3,3,2,2,3,4,4,1,3
102,34,Switzerland,Mid-range,3,4,3,2,2,4,3,3,3
103,50,Ireland,Mid-range,3,2,3,1,3,4,2,1,3
104,52,Grenada,Mid-range,4,4,3,1,3,4,3,3,4
105,46,Madagascar,Budget,2,2,3,3,3,4,1,3,1
106,41,Turkey,Luxury,3,4,4,3,2,4,2,3,3
107,64,South Africa,Mid-range,3,1,3,1,3,3,3,4,2
108,58,Monaco,Mid-range,2,2,3,4,2,4,2,3,4
109,33,Mozambique,Mid-range,3,2,4,4,2,3,2,1,3
110,21,Turks and Caicos,Mid-range,3,2,3,2,3,1,3,3,4
111,39,Slovenia,Luxury,4,1,5,5,3,4,2,2,4
112,19,Gambia,Mid-range,4,3,3,3,2,3,3,2,3
113,63,Bahrain,Mid-range,2,3,4,1,2,2,2,3,2
114,66,Cape Verde,Mid-range,3,2,2,1,3,4,3,2,1
115,60,Slovenia,Mid-range,4,3,3,1,4,4,2,3,2
116,26,Zambia,Mid-range,4,3,4,1,3,3,2,2,3
117,58,Saint Lucia,Mid-range,4,4,3,3,2,5,3,2,2
118,64,Tuvalu,Mid-range,5,3,4,2,3,2,2,2,2
119,65,Samoa,Budget,4,2,4,1,2,4,3,2,2
120,40,Gabon,Mid-range,4,3,4,1,3,4,2,1,1
121,44,Ecuador,Mid-range,5,3,4,2,1,3,3,2,3
122,61,Maldives,Mid-range,4,3,4,2,3,3,2,2,3
123,61,Kenya,Budget,3,3,4,2,4,4,3,2,2
124,64,Venezuela,Mid-range,3,2,1,2,1,3,3,3,1
125,38,Myanmar,Mid-range,4,4,2,1,5,4,3,2,2
126,56,Bahrain,Luxury,3,3,2,1,3,5,3,4,3
127,56,Thailand,Mid-range,3,3,4,2,2,3,3,2,3
128,61,Oman,Mid-range,4,4,2,2,3,2,2,2,4
129,51,Myanmar,Mid-range,2,3,3,1,3,3,2,3,2
130,63,Ecuador,Budget,3,2,3,2,1,3,3,2,3
131,67,Burundi,Mid-range,4,4,5,1,2,4,3,2,2
132,38,Ecuador,Luxury,4,2,4,1,3,4,3,4,4
133,50,U.S. Virgin Islands,Budget,4,1,3,3,3,4,3,4,2
134,49,Bosnia and Herzegovina,Mid-range,4,2,5,1,3,3,3,2,3
135,63,United Arab Emirates,Mid-range,5,4,4,2,3,3,4,2,2
136,22,Brazil,Budget,4,3,3,2,2,3,3,2,3
137,33,Barbados,Budget,3,1,3,3,3,3,2,3,2
138,41,Maldives,Mid-range,5,1,4,3,3,3,3,3,2
139,61,Quebec,Mid-range,4,4,4,4,3,4,3,3,4
140,61,Saint Kitts and Nevis,Mid-range,3,4,3,4,3,3,2,5,2
141,57,Réunion,Mid-range,1,3,4,1,3,3,3,1,3
142,29,China,Mid-range,4,3,4,1,2,4,3,2,1
143,64,Belize,Mid-range,3,2,3,4,4,4,2,4,2
144,44,Lithuania,Mid-range,2,2,3,1,1,4,3,1,4
145,40,Equatorial Guinea,Budget,3,2,4,4,3,4,2,3,3
146,31,Jamaica,Mid-range,2,3,2,2,1,3,3,2,3
147,67,Madagascar,Mid-range,4,3,2,4,2,4,4,2,2
148,63,Cambodia,Mid-range,3,3,4,1,2,2,3,4,4
149,58,Trinidad and Tobago,Budget,3,2,3,3,1,4,3,2,4
150,28,Dominican Republic,Budget,3,3,3,2,3,2,3,3,2
151,65,Quebec,Luxury,4,3,3,1,4,3,2,4,4
152,37,Philippines,Mid-range,3,2,2,2,2,4,2,3,3
153,36,Slovakia,Mid-range,3,3,3,3,2,3,1,2,3
154,67,Bulgaria,Mid-range,2,4,4,1,2,3,3,1,5
155,41,Kosovo,Budget,4,2,2,3,3,4,3,4,3
156,46,Uzbekistan,Budget,3,3,3,3,4,2,3,4,3
157,56,Singapore,Budget,4,4,4,4,3,3,3,5,1
158,55,Morocco,Budget,2,2,4,1,1,4,2,4,4
159,46,San Marino,Mid-range,3,2,3,4,3,3,3,3,1
160,53,Philippines,Mid-range,3,2,4,1,3,4,3,3,3
161,25,Romania,Luxury,2,3,3,1,3,4,2,4,3
162,33,São Tomé and Príncipe,Mid-range,4,2,2,4,2,2,1,3,4
163,67,Poland,Mid-range,4,2,3,2,3,4,2,2,1
164,20,Pakistan,Mid-range,3,3,3,1,1,4,3,3,3
165,25,Bermuda,Budget,3,3,4,1,2,4,2,1,1
166,50,Dominica,Budget,3,2,2,3,4,3,2,2,3
167,30,Cyprus,Mid-range,3,2,3,3,2,3,2,3,3
168,18,Russia,Budget,3,2,3,3,3,4,3,3,2
169,32,Luxembourg,Mid-range,3,3,3,3,3,4,4,2,2
170,27,Vietnam,Budget,3,3,2,2,2,3,2,1,1
171,24,Greenland,Mid-range,1,2,4,5,4,4,3,3,3
172,57,Gabon,Mid-range,3,2,3,2,4,3,3,3,1
173,68,Slovenia,Luxury,3,3,2,2,2,3,3,3,3
174,53,Kazakhstan,Mid-range,5,2,5,3,2,3,2,1,1
175,26,Oman,Budget,4,3,3,2,3,4,2,3,3
176,61,Vanuatu,Mid-range,4,1,4,1,3,3,3,5,2
177,56,Croatia,Mid-range,2,3,3,1,4,3,3,4,5
178,60,Ivory Coast,Luxury,4,2,2,1,3,3,3,3,3
179,36,Comoros,Luxury,3,3,3,2,4,2,1,4,2
180,59,Ukraine,Mid-range,4,2,4,4,2,4,2,4,3
181,52,Paraguay,Mid-range,4,2,2,4,3,4,3,3,3
182,53,United Kingdom,Mid-range,3,3,2,3,2,2,3,1,4
183,56,Peru,Budget,3,2,3,1,2,4,2,3,4
184,26,Portugal,Budget,4,3,4,2,3,3,2,5,3
185,24,Botswana,Mid-range,3,3,4,4,2,3,2,3,2
186,67,South Korea,Mid-range,4,2,3,1,3,5,3,2,2
187,54,New Caledonia,Mid-range,2,2,4,2,2,2,3,3,3
188,49,Réunion,Budget,3,3,5,3,3,3,2,3,3
189,54,Greece,Budget,3,3,3,3,1,4,2,4,3
190,64,Czech Republic,Mid-range,3,3,3,3,2,4,3,3,1
191,45,Venezuela,Mid-range,3,2,4,2,2,3,3,4,3
192,36,Netherlands,Mid-range,3,3,3,1,2,4,3,3,1
193,23,Georgia,Mid-range,3,1,4,3,3,4,3,3,3
194,43,Belgium,Budget,3,3,3,1,2,3,2,1,3
195,59,China,Budget,3,3,2,1,4,4,2,4,2
196,25,Cyprus,Mid-range,3,2,3,1,3,4,3,3,1
197,59,Spain,Budget,4,2,3,3,3,4,3,3,3
198,28,San Marino,Mid-range,3,3,4,1,2,3,4,3,2
199,61,Oman,Mid-range,3,3,4,1,3,4,3,2,4
200,66,Qatar,Budget,3,2,3,3,4,4,3,2,5
201,31,Bulgaria,Luxury,5,4,4,1,3,3,3,2,2
202,54,Gabon,Mid-range,3,3,2,2,2,4,3,4,2
203,26,San Marino,Mid-range,3,3,3,1,2,3,3,3,2
204,57,Benin,Budget,3,2,4,1,2,3,2,2,3
205,42,Kosovo,Mid-range,3,3,3,1,4,3,2,3,3
206,36,Belarus,Mid-range,4,3,4,2,3,4,2,2,4
207,27,Portugal,Mid-range,3,2,1,1,3,2,2,1,2
208,34,Nicaragua,Mid-range,3,2,4,2,1,3,3,5,2
209,69,El Salvador,Mid-range,4,3,1,1,2,3,3,4,2
210,60,Grenada,Mid-range,4,3,3,3,1,4,3,3,1
211,49,Romania,Mid-range,4,3,4,1,3,2,3,3,1
212,45,Finland,Budget,4,2,3,3,1,2,3,1,3
213,51,Indonesia,Mid-range,3,2,3,1,2,3,2,3,1
214,52,Solomon Islands,Luxury,3,4,3,2,1,4,2,3,1
215,39,Peru,Mid-range,3,4,2,3,2,3,3,2,1
216,45,Cameroon,Mid-range,4,2,4,3,2,4,2,2,2
217,60,Chile,Mid-range,4,2,3,2,2,3,4,2,3
218,62,Serbia,Mid-range,3,2,4,2,3,4,3,2,3
219,56,Latvia,Mid-range,1,2,2,4,2,3,3,2,1
220,61,Madagascar,Mid-range,3,3,3,3,2,4,2,1,2
221,48,Puerto Rico,Budget,5,3,3,3,2,3,2,2,3
222,34,Kuwait,Mid-range,3,2,3,3,2,4,4,1,4
223,32,Oman,Mid-range,3,2,4,1,2,3,4,3,3
224,63,U.S. Virgin Islands,Budget,3,4,3,2,3,4,3,4,4
225,57,Bahrain,Luxury,3,3,4,4,2,2,2,4,2
226,40,Equatorial Guinea,Mid-range,3,3,4,2,3,3,2,3,2
227,55,Seychelles,Mid-range,4,2,3,1,2,3,3,2,3
228,57,Cape Verde,Mid-range,4,3,3,1,2,3,3,3,2
229,52,Iran,Mid-range,4,3,3,1,2,4,2,4,1
230,60,Poland,Mid-range,4,2,3,4,2,3,2,4,3
231,19,Mexico,Luxury,4,3,3,4,2,3,3,3,1
232,65,Argentina,Budget,3,4,3,1,3,3,2,1,3
233,62,Kenya,Mid-range,4,2,3,3,2,3,3,3,4
234,28,Vietnam,Mid-range,4,3,2,2,2,3,2,2,2
235,51,San Marino,Mid-range,5,2,3,3,2,4,3,3,3
236,43,Vanuatu,Mid-range,3,3,4,2,3,4,4,5,3
237,30,Bangladesh,Budget,2,2,5,1,3,3,3,1,3
238,55,Belize,Budget,3,3,4,4,3,4,3,2,1
239,32,Réunion,Luxury,4,3,3,3,3,3,2,3,4
240,61,Mexico,Mid-range,3,5,4,2,2,4,2,3,2
241,69,Uganda,Budget,3,3,4,2,3,3,2,2,4
242,64,Singapore,Mid-range,4,2,3,5,2,4,2,4,3
243,46,Costa Rica,Mid-range,3,3,3,2,3,3,3,1,1
244,56,Eswatini,Mid-range,4,2,4,2,3,5,2,3,3
245,41,French Polynesia,Budget,2,2,3,3,3,4,3,1,2
246,51,Kyrgyzstan,Mid-range,3,2,2,2,3,1,2,2,2
247,55,Mozambique,Mid-range,4,2,2,2,3,3,4,2,2
248,41,Taiwan,Mid-range,5,2,4,3,3,4,3,2,4
249,56,Poland,Luxury,3,2,3,2,2,3,3,5,3
250,35,Singapore,Budget,4,2,4,1,4,4,3,3,3
251,57,Nepal,Luxury,4,4,3,1,3,3,2,2,4
252,54,Switzerland,Mid-range,4,3,3,1,3,4,2,2,5
253,67,Hungary,Mid-range,4,1,2,2,3,4,2,2,1
254,37,Jordan,Budget,3,3,4,2,1,2,3,4,2
255,66,Monaco,Mid-range,2,1,3,2,2,4,3,4,2
256,35,Réunion,Mid-range,4,2,2,1,5,2,2,5,3
257,26,Qatar,Mid-range,3,2,2,4,1,2,1,4,1
258,44,Angola,Mid-range,5,4,2,4,2,2,2,3,4
259,39,France,Budget,5,3,3,3,2,5,2,2,3
260,57,Ecuador,Mid-range,4,3,4,3,2,4,2,3,3
261,58,Solomon Islands,Mid-range,3,1,3,2,1,4,3,2,3
262,29,Burundi,Mid-range,4,4,2,2,3,3,3,5,5
263,62,Lithuania,Mid-range,4,3,3,1,4,4,2,3,3
264,40,Puerto Rico,Mid-range,2,3,4,1,4,3,1,4,1
265,52,Palau,Budget,3,3,4,5,2,3,2,2,4
266,61,Ecuador,Mid-range,3,2,2,4,2,3,1,2,4
267,25,Singapore,Mid-range,4,1,3,1,4,4,2,4,3
268,30,Morocco,Budget,5,4,4,1,4,2,2,3,4
269,54,Finland,Mid-range,3,3,5,3,2,3,2,4,1
270,64,Costa Rica,Budget,4,4,3,1,2,4,3,2,2
271,39,Tajikistan,Mid-range,3,2,4,3,3,2,2,3,2
272,43,Gabon,Mid-range,3,2,3,1,2,4,3,3,1
273,48,Sweden,Budget,3,3,3,1,3,2,3,1,4
274,68,China,Mid-range,4,1,2,2,3,3,3,3,1
275,50,Quebec,Budget,3,2,3,3,3,3,2,4,2
276,52,Germany,Mid-range,3,1,3,3,3,4,2,3,1
277,19,Georgia,Luxury,3,3,3,1,3,4,3,2,2
278,67,Sweden,Mid-range,5,2,3,2,2,3,3,1,2
279,41,Kazakhstan,Luxury,4,4,4,2,2,3,2,3,2
280,61,United Arab Emirates,Budget,4,2,2,3,4,3,4,4,1
281,59,Ecuador,Mid-range,4,5,4,3,2,3,4,2,2
282,39,Réunion,Mid-range,3,3,4,2,3,4,3,2,2
283,36,Cuba,Mid-range,3,2,3,3,3,2,3,2,2
284,34,Palau,Luxury,4,2,5,5,4,3,2,1,3
285,62,Italy,Luxury,3,2,2,1,4,2,3,2,5
286,44,Papua New Guinea,Mid-range,4,3,4,3,3,2,3,2,3
287,39,Chile,Mid-range,4,4,2,2,4,5,3,4,1
288,63,New Caledonia,Mid-range,4,2,4,3,1,3,3,1,2
289,62,Republic of the Congo,Luxury,3,2,2,1,2,4,3,2,3
290,23,Germany,Mid-range,5,3,4,1,2,3,2,5,3
291,32,New Caledonia,Luxury,3,3,2,2,3,3,3,2,2
292,49,Tanzania,Mid-range,3,3,3,1,2,3,2,2,3
293,67,Qatar,Mid-range,3,3,3,1,3,4,3,4,1
294,68,Vanuatu,Luxury,4,4,3,3,1,2,3,1,1
295,62,Dominican Republic,Luxury,4,2,3,3,2,4,2,3,3
296,48,Fiji,Mid-range,3,3,2,3,3,2,2,3,1
297,55,Bosnia and Herzegovina,Mid-range,4,2,3,1,3,4,3,3,4
298,41,Samoa,Mid-range,3,3,4,2,3,3,2,3,1
299,18,Turkey,Mid-range,4,2,3,1,2,2,2,2,3
300,56,Suriname,Mid-range,3,2,3,1,5,3,3,2,5
301,48,Sierra Leone,Mid-range,3,3,3,4,2,3,3,4,3
302,29,Poland,Mid-range,3,3,4,3,3,3,4,3,3
303,55,Burundi,Mid-range,2,2,1,2,2,5,3,4,4
304,19,Belize,Budget,4,3,4,3,1,3,4,2,2
305,50,Portugal,Budget,4,3,3,1,4,3,3,4,2
306,20,Laos,Budget,3,3,1,1,2,3,3,2,3
307,43,Cuba,Mid-range,4,2,3,4,1,4,2,3,2
308,38,Palau,Mid-range,4,2,3,2,3,4,2,2,2
309,28,Belgium,Mid-range,3,2,5,2,3,3,3,3,4
310,49,United Kingdom,Mid-range,3,2,3,2,3,3,3,4,3
311,42,Eswatini,Mid-range,3,4,3,1,2,2,3,4,3
312,58,Lesotho,Budget,2,4,2,2,1,3,2,2,4
313,52,Slovenia,Mid-range,4,2,4,1,2,4,2,2,3
314,58,Namibia,Budget,2,2,3,2,2,3,1,3,5
315,62,Zambia,Mid-range,5,2,2,2,2,3,3,1,1
316,48,Greenland,Budget,2,3,3,1,4,3,2,4,4
317,56,Grenada,Budget,5,2,3,2,3,3,2,2,2
318,55,Zimbabwe,Mid-range,3,3,4,2,3,3,3,2,2
319,48,Venezuela,Luxury,3,3,3,1,2,5,3,3,4
320,18,Uzbekistan,Budget,4,3,4,1,2,3,2,2,2
321,22,Switzerland,Luxury,3,4,5,4,2,4,2,3,3
322,23,Kuwait,Mid-range,4,2,3,5,2,5,3,3,2
323,41,Romania,Luxury,3,3,3,2,1,4,3,3,3
324,69,Argentina,Mid-range,2,2,4,3,3,4,4,3,3
325,30,Chile,Mid-range,3,4,3,4,3,3,3,3,3
326,44,Luxembourg,Luxury,2,2,2,3,2,5,2,3,2
327,47,Réunion,Mid-range,4,4,3,1,2,4,3,3,2
328,56,Slovakia,Luxury,4,1,2,2,2,2,2,2,3
329,23,Botswana,Mid-range,4,2,3,1,1,3,3,4,2
330,21,San Marino,Luxury,3,3,3,2,3,3,1,2,2
331,43,Belgium,Mid-range,3,2,4,1,2,4,3,2,2
332,68,Quebec,Mid-range,3,2,4,1,2,3,3,5,2
333,42,Colombia,Mid-range,3,4,4,4,3,4,3,2,2
334,52,Bhutan,Budget,3,3,3,3,3,3,3,4,3
335,47,Tanzania,Mid-range,3,2,4,2,4,3,2,3,4
336,26,Portugal,Mid-range,4,4,2,2,3,3,2,4,4
337,54,Brazil,Budget,4,2,3,4,2,4,3,5,4
338,21,Puerto Rico,Mid-range,2,2,2,1,3,2,3,3,1
339,37,Cameroon,Luxury,3,1,4,1,4,3,2,4,2
340,38,Philippines,Luxury,4,2,4,4,3,3,1,4,3
341,44,Serbia,Luxury,3,3,3,1,2,3,3,4,3
342,23,Turkey,Mid-range,3,4,2,2,2,3,2,2,3
343,68,Gabon,Budget,4,2,3,3,2,3,3,3,1
344,68,Uzbekistan,Luxury,3,2,3,1,3,3,3,3,2
345,33,Malawi,Mid-range,3,1,4,1,3,4,2,3,2
346,54,Cuba,Luxury,3,3,2,3,1,2,2,2,2
347,50,Saint Kitts and Nevis,Mid-range,4,1,3,3,3,3,3,2,3
348,62,Czech Republic,Budget,2,2,4,3,3,3,2,1,2
349,55,Bulgaria,Mid-range,1,2,3,2,2,5,4,1,2
350,49,Bahrain,Mid-range,4,2,5,2,4,3,3,2,3
351,37,Germany,Budget,3,3,4,1,1,4,4,4,4
352,18,Austria,Mid-range,3,3,4,5,3,4,2,3,2
353,67,China,Budget,4,3,4,5,2,4,3,2,3
354,42,Latvia,Budget,3,3,3,1,2,3,3,4,4
355,38,Japan,Mid-range,4,2,3,1,3,2,2,3,3
356,20,Togo,Budget,3,3,3,1,3,3,3,4,3
357,28,Bulgaria,Budget,2,4,3,4,1,3,3,3,3
358,43,Georgia,Budget,3,2,5,1,3,4,3,3,4
359,47,Bulgaria,Mid-range,5,2,3,3,3,4,3,3,2
360,63,Qatar,Mid-range,5,2,4,4,1,4,2,3,2
361,27,Suriname,Budget,4,2,1,1,2,3,2,1,3
362,39,Mauritius,Budget,4,3,3,3,2,2,2,3,3
363,54,Malta,Mid-range,3,3,4,3,2,3,3,3,4
364,38,Eswatini,Mid-range,2,3,2,1,2,3,2,2,3
365,20,Luxembourg,Budget,3,3,4,2,1,3,3,2,3
366,63,Austria,Budget,3,2,3,2,1,2,2,1,3
367,37,Qatar,Mid-range,5,2,2,2,3,2,2,4,4
368,41,Turkmenistan,Budget,4,3,2,2,1,3,1,1,2
369,47,Malawi,Mid-range,3,3,2,3,3,4,4,3,2
370,54,Russia,Mid-range,3,3,2,3,2,3,2,3,3
371,34,Denmark,Budget,5,3,2,2,3,4,2,4,3
372,43,Oman,Budget,4,1,2,3,5,3,2,3,1
373,41,Barbados,Budget,4,3,3,2,3,4,2,3,3
374,45,Kuwait,Luxury,4,3,2,1,3,3,4,2,1
375,19,Singapore,Mid-range,3,3,4,1,2,2,4,2,2
376,34,Turkmenistan,Mid-range,5,2,2,2,4,4,3,3,2
377,37,Cape Verde,Mid-range,2,2,4,1,3,4,3,4,4
378,65,Tanzania,Luxury,2,3,5,1,4,3,2,2,1
379,43,Uganda,Budget,3,2,4,1,4,3,3,5,3
380,32,Lesotho,Luxury,4,4,3,2,2,3,3,3,1
381,44,Canada,Mid-range,5,2,4,1,2,4,3,5,4
382,43,China,Budget,1,3,4,2,3,3,2,3,4
383,21,Mexico,Mid-range,5,3,2,3,4,3,2,3,1
384,20,Botswana,Luxury,3,3,4,1,2,3,3,3,1
385,50,Quebec,Mid-range,2,1,4,1,5,4,3,2,2
386,58,Myanmar,Budget,2,2,4,2,2,3,2,1,3
387,25,Bosnia and Herzegovina,Mid-range,4,3,4,3,4,2,2,3,1
388,40,Bolivia,Mid-range,2,2,3,3,3,4,2,3,3
389,34,Gabon,Budget,2,2,2,2,2,4,3,2,2
390,35,Colombia,Mid-range,4,4,5,2,1,3,2,4,3
391,57,South Africa,Mid-range,3,3,5,2,3,2,2,4,3
392,55,Ukraine,Budget,3,3,3,2,2,3,3,3,2
393,48,Palau,Mid-range,4,4,1,4,4,3,2,3,4
394,42,Burundi,Mid-range,3,4,4,3,2,3,2,4,2
395,41,South Korea,Mid-range,4,3,4,2,1,4,3,2,2
396,30,Japan,Luxury,5,2,3,1,1,2,4,2,1
397,23,Turks and Caicos,Mid-range,3,3,3,1,4,4,3,4,2
398,49,Mozambique,Mid-range,4,4,2,1,2,4,2,4,3
399,21,Albania,Budget,2,3,4,1,1,5,3,2,3
400,31,Angola,Mid-range,4,4,3,2,2,4,2,3,3
401,42,Argentina,Mid-range,4,3,3,1,1,3,2,1,4
402,69,Poland,Budget,5,3,2,1,3,2,4,3,3
403,45,Vanuatu,Budget,5,4,2,1,1,5,2,4,1
404,29,Switzerland,Luxury,4,2,4,1,4,3,3,2,2
405,35,Kosovo,Mid-range,4,5,2,1,3,3,2,2,3
406,33,Iceland,Mid-range,3,2,4,1,3,5,3,3,2
407,22,Sri Lanka,Budget,4,4,3,1,3,4,2,2,4
408,65,Latvia,Mid-range,2,1,3,1,2,3,4,2,3
409,51,Kosovo,Budget,4,4,3,1,2,2,3,2,3
410,64,Egypt,Budget,2,1,3,4,3,4,3,2,3
411,19,Latvia,Mid-range,2,3,1,1,3,4,2,3,3
412,24,Paraguay,Luxury,4,3,3,3,4,3,1,3,3
413,67,Réunion,Mid-range,4,2,3,2,2,3,2,3,3
414,37,Bosnia and Herzegovina,Mid-range,4,2,4,4,3,3,3,3,3
415,54,Canada,Budget,4,2,4,1,2,3,2,2,4
416,30,Poland,Mid-range,2,4,5,2,3,3,2,2,5
417,59,Ukraine,Budget,4,4,4,1,3,2,2,1,1
418,18,Estonia,Luxury,4,3,3,3,4,4,2,1,3
